No.,Time,Source,Destination,Protocol,Length,Info
38246,562.960243,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=250693 Ack=7496647 Win=3645 Len=0
38247,563.017096,172.16.64.10,10.80.0.50,TDS,93,Response
38248,563.017225,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38249,563.05834,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=250732 Ack=7497813 Win=3645 Len=0
38250,563.109976,172.16.64.10,10.80.0.50,TDS,93,Response
38251,563.110129,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
38253,563.149885,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=250771 Ack=7498981 Win=3645 Len=0
38254,563.208059,172.16.64.10,10.80.0.50,TDS,93,Response
38255,563.208182,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38256,563.209042,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=250810 Ack=7500147 Win=3645 Len=0
38259,563.30978,172.16.64.10,10.80.0.50,TDS,93,Response
38260,563.309902,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38261,563.350318,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=250849 Ack=7501313 Win=3645 Len=0
38262,563.409747,172.16.64.10,10.80.0.50,TDS,93,Response
38263,563.409871,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38264,563.450043,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=250888 Ack=7502479 Win=3645 Len=0
38265,563.508804,172.16.64.10,10.80.0.50,TDS,93,Response
38266,563.508915,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38267,563.54883,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=250927 Ack=7503645 Win=3645 Len=0
38269,563.60622,172.16.64.10,10.80.0.50,TDS,93,Response
38270,563.606346,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38271,563.64706,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=250966 Ack=7504811 Win=3645 Len=0
38272,563.69928,172.16.64.10,10.80.0.50,TDS,93,Response
38273,563.699386,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38274,563.739934,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251005 Ack=7505977 Win=3645 Len=0
38275,563.80004,172.16.64.10,10.80.0.50,TDS,93,Response
38276,563.800165,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38277,563.840182,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251044 Ack=7507143 Win=3645 Len=0
38278,563.904978,172.16.64.10,10.80.0.50,TDS,93,Response
38279,563.905124,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38282,563.945158,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251083 Ack=7508309 Win=3645 Len=0
38283,564.009847,172.16.64.10,10.80.0.50,TDS,93,Response
38284,564.009956,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38286,564.050251,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251122 Ack=7509475 Win=3645 Len=0
38287,564.114298,172.16.64.10,10.80.0.50,TDS,93,Response
38288,564.114456,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38289,564.155176,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251161 Ack=7510641 Win=3645 Len=0
38290,564.199063,172.16.64.10,10.80.0.50,TDS,93,Response
38291,564.199186,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38292,564.239825,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251200 Ack=7511807 Win=3645 Len=0
38293,564.290398,172.16.64.10,10.80.0.50,TDS,93,Response
38294,564.290522,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38295,564.331221,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251239 Ack=7512973 Win=3645 Len=0
38296,564.382533,172.16.64.10,10.80.0.50,TDS,93,Response
38297,564.382657,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38298,564.422913,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251278 Ack=7514139 Win=3645 Len=0
38299,564.478298,172.16.64.10,10.80.0.50,TDS,93,Response
38300,564.478403,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38301,564.518887,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251317 Ack=7515305 Win=3645 Len=0
38302,564.575491,172.16.64.10,10.80.0.50,TDS,93,Response
38303,564.575603,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38304,564.6159,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251356 Ack=7516471 Win=3645 Len=0
38305,564.677941,172.16.64.10,10.80.0.50,TDS,93,Response
38306,564.678102,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38307,564.717808,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251395 Ack=7517637 Win=3645 Len=0
38309,564.776191,172.16.64.10,10.80.0.50,TDS,93,Response
38310,564.776296,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38312,564.816844,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251434 Ack=7518803 Win=3645 Len=0
38314,564.874891,172.16.64.10,10.80.0.50,TDS,93,Response
38315,564.875031,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38317,564.914845,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251473 Ack=7519969 Win=3645 Len=0
38319,564.967709,172.16.64.10,10.80.0.50,TDS,93,Response
38320,564.96785,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38321,565.007847,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251512 Ack=7521135 Win=3645 Len=0
38322,565.057217,172.16.64.10,10.80.0.50,TDS,93,Response
38323,565.057341,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38324,565.098247,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251551 Ack=7522301 Win=3645 Len=0
38325,565.142367,172.16.64.10,10.80.0.50,TDS,93,Response
38326,565.142516,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38327,565.182916,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251590 Ack=7523467 Win=3645 Len=0
38328,565.229073,172.16.64.10,10.80.0.50,TDS,93,Response
38329,565.229194,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38330,565.270047,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251629 Ack=7524633 Win=3645 Len=0
38331,565.321311,172.16.64.10,10.80.0.50,TDS,93,Response
38332,565.321467,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38333,565.361937,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251668 Ack=7525799 Win=3645 Len=0
38334,565.422637,172.16.64.10,10.80.0.50,TDS,93,Response
38335,565.422779,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38336,565.463074,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251707 Ack=7526965 Win=3645 Len=0
38337,565.52212,172.16.64.10,10.80.0.50,TDS,93,Response
38338,565.522234,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
38339,565.562893,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251746 Ack=7528133 Win=3645 Len=0
38343,565.61784,172.16.64.10,10.80.0.50,TDS,93,Response
38344,565.617965,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38345,565.618396,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251785 Ack=7529299 Win=3645 Len=0
38347,565.713847,172.16.64.10,10.80.0.50,TDS,93,Response
38348,565.713983,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38349,565.753874,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251824 Ack=7530465 Win=3645 Len=0
38350,565.804529,172.16.64.10,10.80.0.50,TDS,93,Response
38351,565.804637,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38352,565.845111,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251863 Ack=7531631 Win=3645 Len=0
38353,565.896617,172.16.64.10,10.80.0.50,TDS,93,Response
38354,565.896743,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38355,565.936939,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251902 Ack=7532797 Win=3645 Len=0
38356,565.98987,172.16.64.10,10.80.0.50,TDS,93,Response
38357,565.989999,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38358,566.030096,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251941 Ack=7533963 Win=3645 Len=0
38359,566.083204,172.16.64.10,10.80.0.50,TDS,93,Response
38360,566.083314,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38361,566.123842,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=251980 Ack=7535129 Win=3645 Len=0
38362,566.182923,172.16.64.10,10.80.0.50,TDS,93,Response
38363,566.183271,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38366,566.223839,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252019 Ack=7536295 Win=3645 Len=0
38368,566.266359,172.16.64.10,10.80.0.50,TDS,93,Response
38369,566.266467,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38371,566.307088,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252058 Ack=7537461 Win=3645 Len=0
38373,566.348287,172.16.64.10,10.80.0.50,TDS,93,Response
38374,566.348398,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38375,566.389078,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252097 Ack=7538627 Win=3645 Len=0
38376,566.430474,172.16.64.10,10.80.0.50,TDS,93,Response
38377,566.430582,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38378,566.47088,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252136 Ack=7539793 Win=3645 Len=0
38379,566.513468,172.16.64.10,10.80.0.50,TDS,93,Response
38380,566.513572,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38381,566.554212,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252175 Ack=7540959 Win=3645 Len=0
38382,566.595802,172.16.64.10,10.80.0.50,TDS,93,Response
38383,566.595911,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38384,566.636194,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252214 Ack=7542125 Win=3645 Len=0
38385,566.678541,172.16.64.10,10.80.0.50,TDS,93,Response
38386,566.6787,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38387,566.718833,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252253 Ack=7543291 Win=3645 Len=0
38388,566.7596,172.16.64.10,10.80.0.50,TDS,93,Response
38389,566.759753,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38390,566.799895,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252292 Ack=7544457 Win=3645 Len=0
38391,566.841881,172.16.64.10,10.80.0.50,TDS,93,Response
38392,566.841986,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38393,566.882158,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252331 Ack=7545623 Win=3645 Len=0
38394,566.924855,172.16.64.10,10.80.0.50,TDS,93,Response
38395,566.924983,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38396,566.96487,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252370 Ack=7546789 Win=3645 Len=0
38397,567.007235,172.16.64.10,10.80.0.50,TDS,93,Response
38398,567.00736,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38401,567.047829,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252409 Ack=7547955 Win=3645 Len=0
38403,567.089069,172.16.64.10,10.80.0.50,TDS,93,Response
38404,567.089177,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38405,567.128938,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252448 Ack=7549121 Win=3645 Len=0
38406,567.171514,172.16.64.10,10.80.0.50,TDS,93,Response
38407,567.171643,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38408,567.21186,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252487 Ack=7550287 Win=3645 Len=0
38409,567.25893,172.16.64.10,10.80.0.50,TDS,93,Response
38410,567.259042,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38411,567.299244,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252526 Ack=7551453 Win=3645 Len=0
38412,567.34319,172.16.64.10,10.80.0.50,TDS,93,Response
38413,567.343312,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38414,567.384004,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252565 Ack=7552619 Win=3645 Len=0
38415,567.429859,172.16.64.10,10.80.0.50,TDS,93,Response
38416,567.429999,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38417,567.469828,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252604 Ack=7553785 Win=3645 Len=0
38418,567.51244,172.16.64.10,10.80.0.50,TDS,93,Response
38419,567.512583,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38420,567.552832,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252643 Ack=7554951 Win=3645 Len=0
38422,567.594834,172.16.64.10,10.80.0.50,TDS,93,Response
38423,567.594984,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38424,567.634851,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252682 Ack=7556117 Win=3645 Len=0
38425,567.678417,172.16.64.10,10.80.0.50,TDS,93,Response
38426,567.678528,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38427,567.718869,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252721 Ack=7557283 Win=3645 Len=0
38428,567.762704,172.16.64.10,10.80.0.50,TDS,93,Response
38429,567.762827,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38430,567.802823,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252760 Ack=7558449 Win=3645 Len=0
38432,567.845348,172.16.64.10,10.80.0.50,TDS,93,Response
38433,567.84551,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38434,567.88617,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252799 Ack=7559615 Win=3645 Len=0
38436,567.92754,172.16.64.10,10.80.0.50,TDS,93,Response
38437,567.927701,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38439,567.967727,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252838 Ack=7560781 Win=3645 Len=0
38440,568.008679,172.16.64.10,10.80.0.50,TDS,93,Response
38441,568.008847,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38442,568.049202,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252877 Ack=7561947 Win=3645 Len=0
38443,568.09466,172.16.64.10,10.80.0.50,TDS,93,Response
38444,568.094782,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
38445,568.134857,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252916 Ack=7563115 Win=3645 Len=0
38446,568.177048,172.16.64.10,10.80.0.50,TDS,93,Response
38447,568.177191,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38448,568.217853,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252955 Ack=7564281 Win=3645 Len=0
38449,568.260193,172.16.64.10,10.80.0.50,TDS,93,Response
38450,568.260322,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38451,568.3011,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=252994 Ack=7565447 Win=3645 Len=0
38453,568.343522,172.16.64.10,10.80.0.50,TDS,93,Response
38454,568.343618,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38455,568.383833,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253033 Ack=7566613 Win=3645 Len=0
38458,568.427125,172.16.64.10,10.80.0.50,TDS,93,Response
38459,568.427269,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38463,568.468216,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253072 Ack=7567779 Win=3645 Len=0
38465,568.510895,172.16.64.10,10.80.0.50,TDS,93,Response
38466,568.511006,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38467,568.550836,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253111 Ack=7568945 Win=3645 Len=0
38469,568.594122,172.16.64.10,10.80.0.50,TDS,93,Response
38470,568.594219,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
38471,568.634815,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253150 Ack=7570113 Win=3645 Len=0
38472,568.677283,172.16.64.10,10.80.0.50,TDS,93,Response
38473,568.677384,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38474,568.718104,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253189 Ack=7571279 Win=3645 Len=0
38475,568.759454,172.16.64.10,10.80.0.50,TDS,93,Response
38476,568.75958,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38477,568.800234,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253228 Ack=7572445 Win=3645 Len=0
38478,568.843109,172.16.64.10,10.80.0.50,TDS,93,Response
38479,568.843247,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38480,568.884197,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253267 Ack=7573611 Win=3645 Len=0
38481,568.927033,172.16.64.10,10.80.0.50,TDS,93,Response
38482,568.927175,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38483,568.967814,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253306 Ack=7574777 Win=3645 Len=0
38484,569.010065,172.16.64.10,10.80.0.50,TDS,93,Response
38485,569.010227,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38487,569.050834,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253345 Ack=7575943 Win=3645 Len=0
38488,569.093261,172.16.64.10,10.80.0.50,TDS,93,Response
38489,569.093358,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38491,569.133847,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253384 Ack=7577109 Win=3645 Len=0
38493,569.176726,172.16.64.10,10.80.0.50,TDS,93,Response
38494,569.176836,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38495,569.216885,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253423 Ack=7578275 Win=3645 Len=0
38496,569.258806,172.16.64.10,10.80.0.50,TDS,93,Response
38497,569.258916,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38498,569.298865,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253462 Ack=7579441 Win=3645 Len=0
38499,569.341875,172.16.64.10,10.80.0.50,TDS,93,Response
38500,569.341997,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38501,569.382211,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253501 Ack=7580607 Win=3645 Len=0
38502,569.424553,172.16.64.10,10.80.0.50,TDS,93,Response
38503,569.424668,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
38505,569.464765,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253540 Ack=7581775 Win=3645 Len=0
38506,569.507966,172.16.64.10,10.80.0.50,TDS,93,Response
38507,569.508115,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
38508,569.508587,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253579 Ack=7582941 Win=3645 Len=0
38510,569.59165,172.16.64.10,10.80.0.50,TDS,93,Response
38511,569.591826,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38512,569.632125,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253618 Ack=7584107 Win=3645 Len=0
38515,569.674268,172.16.64.10,10.80.0.50,TDS,93,Response
38516,569.674409,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38518,569.714824,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253657 Ack=7585273 Win=3645 Len=0
38520,569.757292,172.16.64.10,10.80.0.50,TDS,93,Response
38521,569.757422,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38523,569.797989,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253696 Ack=7586439 Win=3645 Len=0
38524,569.840569,172.16.64.10,10.80.0.50,TDS,93,Response
38525,569.840681,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38526,569.880832,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253735 Ack=7587605 Win=3645 Len=0
38527,569.922961,172.16.64.10,10.80.0.50,TDS,93,Response
38528,569.92308,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38529,569.96328,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253774 Ack=7588771 Win=3645 Len=0
38530,570.006212,172.16.64.10,10.80.0.50,TDS,93,Response
38531,570.006323,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38532,570.047015,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253813 Ack=7589937 Win=3645 Len=0
38533,570.08955,172.16.64.10,10.80.0.50,TDS,93,Response
38534,570.089668,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38535,570.130193,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253852 Ack=7591103 Win=3645 Len=0
38536,570.171063,172.16.64.10,10.80.0.50,TDS,93,Response
38537,570.171163,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38538,570.212194,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253891 Ack=7592269 Win=3645 Len=0
38539,570.25335,172.16.64.10,10.80.0.50,TDS,93,Response
38540,570.25354,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38541,570.293805,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253930 Ack=7593435 Win=3645 Len=0
38542,570.337116,172.16.64.10,10.80.0.50,TDS,93,Response
38543,570.337271,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38544,570.378179,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=253969 Ack=7594601 Win=3645 Len=0
38545,570.419953,172.16.64.10,10.80.0.50,TDS,93,Response
38546,570.420113,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38548,570.45982,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=254008 Ack=7595767 Win=3645 Len=0
38549,570.50276,172.16.64.10,10.80.0.50,TDS,93,Response
38550,570.502881,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38552,570.543166,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=254047 Ack=7596933 Win=3645 Len=0
38554,570.585545,172.16.64.10,10.80.0.50,TDS,93,Response
38555,570.585665,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38556,570.625868,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=254086 Ack=7598099 Win=3645 Len=0
38557,570.668141,172.16.64.10,10.80.0.50,TDS,93,Response
38558,570.668255,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38559,570.7088,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=254125 Ack=7599265 Win=3645 Len=0
38560,570.77177,172.16.64.10,10.80.0.50,TDS,93,Response
38561,570.771927,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38562,570.81216,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=254164 Ack=7600431 Win=3645 Len=0
38563,570.857962,172.16.64.10,10.80.0.50,TDS,93,Response
38564,570.858064,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38566,570.898045,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=254203 Ack=7601597 Win=3645 Len=0
38567,570.95733,172.16.64.10,10.80.0.50,TDS,93,Response
38568,570.957495,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38569,570.997781,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=254242 Ack=7602763 Win=3645 Len=0
38570,571.053948,172.16.64.10,10.80.0.50,TDS,93,Response
38571,571.054106,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
38572,571.093789,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=254281 Ack=7603929 Win=3645 Len=0
